,Make,Model,Price,Year,Transmission,Listing Type,Body Type,Fuel Type,Engine Capacity - Cc,Engine Power - KW
414,CHEVROLET, SEDAN,30950,,,Used,Sedan,,,
415,LEYLAND, MINI Van,25000,1978,Manual,Used,Panel Van,Unleaded,,
416,AUSTIN HEALEY, 3000 MK III BJ8,139990,1965,Manual,Used,Convertible,Leaded Petrol,2912,
417,PORSCHE, 911 CARRERA 2.7,132000,1975,,Used,Hardtop - Coupe,,,
418,HSV, GTS Gen F,119985,2015,Manual,Used,Sedan,Premium Unleaded,,
419,LOTUS, ELISE,69990,2015,Manual,Used,Roadster,Premium Unleaded,1796,
420,MINERVA, ROADSTER,229990,1923,Manual,Used,Roadster,Leaded Petrol,0,
421,DODGE, CHALLENGER,99990,1970,Manual,Used,Hardtop - Coupe,Unleaded,,
422,FORD, FOCUS RS,48988,2017,Manual,Used,Hatchback,Premium Unleaded,,
423,FORD, DELUXE Woodie,174990,1940,Automatic,Used,Wagon,Unleaded,,
424,MERCEDES-BENZ, CLS 250D,69990,2017,Automatic,Used,Hardtop - Coupe,Diesel,2143,
425,SUZUKI, GRAND VITARA 4x4 XL-7,6990,2001,Automatic,Used,Wagon,Unleaded,2700,
426,VOLKSWAGEN, AMAROK,34990,2015,Automatic,Used,Ute,Diesel,1968,
427,BMW, E30 325I,13700,1988,Manual,Used,Hardtop - Coupe,Unleaded,,
428,MERCEDES-BENZ, S500,119990,2014,Automatic,Used,Sedan,Premium Unleaded,4663,
429,HSV, CLUBSPORT R8 VX,55000,2001,Automatic,Used,Sedan,,,
430,HUMBER, VOGUE 3,10000,1995,Automatic,Used,Sedan,Leaded Petrol,1600,60
431,FERRARI, 328,269990,1988,Manual,Used,Hardtop - Coupe,Premium Unleaded,3185,
432,FPV, F6 TYPHOON BA MKII,30000,2004,Manual,Used,Sedan,,3984,270
433,ASTON MARTIN, V8,119990,2010,Automatic,Used,Hardtop - Coupe,Premium Unleaded,4735,
434,AUSTIN HEALEY, 3000 MK III BJ8,139990,1965,Manual,Used,Convertible,Leaded Petrol,2912,
435,MG, TD Roadster,39500,1952,,Used,Convertible,,,
436,HSV, GTO VZ,129990,2004,Automatic,Used,Hardtop - Coupe,,,
437,MERCEDES-BENZ, C200,49990,2015,Automatic,Used,Sedan,Premium Unleaded,1991,
438,JAGUAR, XE,49990,2016,Automatic,Used,Sedan,Premium Unleaded,1999,
439,CHEVROLET, CORVETTE,123000,,Automatic,Used,Hardtop - Coupe,Premium Unleaded,,
